id;price;property_type;room_type;amenities;accommodates;bathrooms;bed_;type;cancellation_policy;cleaning_fee;city;host_identity_verified;host_response_rate;host_since;neighbourhood;number_of_reviews;review_scores_rating;zipcode;bedrooms;beds
18823930;485.98;Villa;Entire home/apt;"{TV,Internet,""Wireless Internet"",Kitchen,""Free...";6;1;Real;Bed;moderate;True;LA;t;90%;06/12/2013;Harbor Gateway;27;93.00;90501;2;2
15523281;598.90;Villa;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",Po...";4;1;Real;Bed;strict;True;LA;f;100%;20/05/2014;None;5;88.00;90704;1;2
19698509;741.76;Villa;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";8;4;Real;Bed;super_strict_60;True;LA;t;100%;05/01/2015;None;0;nan;90277;4;4
12497464;431.75;Apartment;Private room;"{""Wireless Internet"",Kitchen,""Buzzer/wireless ...";2;1;Real;Bed;moderate;True;NYC;t;None;14/01/2014;Crown Heights;2;80.00;11238;1;1
17764793;469.13;Villa;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";2;1;Real;Bed;moderate;True;LA;t;100%;02/11/2012;Topanga;6;100.00;91364;1;1
11136854;485.20;Villa;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";6;1;Real;Bed;strict;True;LA;t;100%;12/08/2014;Temple City;28;96.00;91780;2;4
15754561;482.83;Apartment;Entire home/apt;"{""Wireless Internet"",""Air conditioning"",Kitche...";4;1;Real;Bed;moderate;True;NYC;f;100%;07/06/2017;Bedford-Stuyvesant;0;nan;11216;1;1
4471474;313.55;House;Shared room;{};1;1;Real;Bed;flexible;True;LA;t;100%;20/12/2013;None;0;nan;91405;1;1
13207484;368.89;House;Shared room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";4;1;C;ouch;strict;True;LA;t;25%;05/12/2016;Hollywood;0;nan;90028;1;1
7837072;336.73;House;Private room;"{Internet,""Wireless Internet"",""Air conditionin...";2;1;Real;Bed;moderate;False;LA;f;98%;02/07/2017;None;0;nan;91770;1;1
7823396;417.44;House;Private room;"{TV,""Cable TV"",""Wireless Internet"",""Air condit...";2;1;Real;Bed;moderate;True;NYC;f;100%;27/05/2015;Richmond Hill;74;96.00;11419;1;1
7966742;423.41;House;Private room;"{Internet,""Wireless Internet"",""Air conditionin...";2;1;Real;Bed;strict;True;NYC;t;100%;27/06/2012;Bedford-Stuyvesant;18;89.00;11221;1;1
257568;389.18;House;Private room;"{TV,Internet,""Wireless Internet"",""Air conditio...";3;1;Real;Bed;strict;True;NYC;t;100%;20/04/2013;Astoria;246;90.00;11106;1;1
18073864;482.83;Apartment;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";4;2;Real;Bed;flexible;True;LA;t;100%;27/09/2012;None;10;90.00;91302;2;2
13667633;541.61;House;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",Ki...";5;2;Real;Bed;flexible;True;LA;t;100%;08/05/2015;Westchester/Playa Del Rey;8;94.00;90045;2;2
590903;662.01;House;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";6;2;Real;Bed;moderate;True;LA;t;100%;01/03/2015;Mid-Wilshire;2;100.00;90048;3;3
19161964;391.20;House;Private room;"{Internet,""Wireless Internet"",""Air conditionin...";1;1;Real;Bed;flexible;True;LA;f;None;14/07/2016;None;0;nan;90650;1;1
19475815;470.05;House;Private room;"{TV,Internet,""Wireless Internet"",""Air conditio...";2;1;Real;Bed;moderate;True;NYC;t;60%;14/11/2015;Astoria;4;93.00;11106;1;1
1407841;412.71;House;Private room;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";2;1;Real;Bed;moderate;True;LA;t;100%;27/05/2016;Mar Vista;18;99.00;90066;1;1
1535628;407.75;House;Private room;"{""Wireless Internet"",Kitchen,""Pets live on thi...";2;2;Real;Bed;moderate;True;NYC;f;100%;10/03/2016;Hunts Point;4;100.00;10474;1;1
6888244;501.06;House;Private room;"{TV,""Wireless Internet"",""Air conditioning"",Poo...";2;2;Real;Bed;strict;True;NYC;t;100%;25/03/2011;Carroll Gardens;8;83.00;11231;1;1
8889145;539.36;House;Entire home/apt;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";4;2;Real;Bed;moderate;True;LA;t;None;06/01/2012;Studio City;0;nan;91604;2;2
15073872;474.49;House;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";4;1;Real;Bed;flexible;False;LA;t;100%;06/03/2013;Studio City;6;100.00;91604;1;1
10174146;695.65;House;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";9;4;Real;Bed;moderate;True;LA;t;83%;09/08/2015;None;1;100.00;90048;5;5
12600300;424.85;House;Private room;"{""Wireless Internet"",""Air conditioning"",Kitche...";4;2;Real;Bed;strict;True;NYC;f;99%;06/05/2017;Flushing;12;93.00;11355;1;2
62427;667.83;Villa;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";12;4;Real;Bed;strict;True;LA;t;100%;28/09/2011;Topanga;32;99.00;90290;4;4
5447656;417.44;House;Private room;"{TV,""Cable TV"",""Wireless Internet"",""Air condit...";2;1;Real;Bed;flexible;True;DC;t;100%;25/03/2011;Logan Circle;7;97.00;20005;1;1
2974433;529.33;House;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",Ki...";4;1;Real;Bed;strict;False;LA;t;100%;28/11/2011;Long Beach;109;97.00;90803;1;1
17010314;430.41;House;Private room;"{""Wireless Internet"",""Air conditioning"",Pool,K...";2;1;Real;Bed;moderate;True;LA;t;100%;06/03/2013;None;33;99.00;91506;1;1
20167264;385.01;House;Private room;"{Internet,""Wireless Internet"",""Air conditionin...";1;1;Real;Bed;flexible;True;Boston;t;100%;06/03/2013;Dorchester;220;98.00;2125;1;1
4156913;570.38;House;Entire home/apt;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";6;2;Real;Bed;moderate;True;NYC;f;100%;30/05/2016;The Rockaways;2;100.00;11509;4;5
11993790;602.83;House;Entire home/apt;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";7;2;Real;Bed;strict;True;NYC;f;100%;06/05/2017;Windsor Terrace;0;nan;11218;5;5
10989476;455.39;House;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",Ki...";2;1;Real;Bed;moderate;True;SF;t;100%;20/04/2013;Bernal Heights;28;98.00;94110;1;1
7939396;459.51;Villa;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",Ki...";6;1;Real;Bed;strict;True;LA;t;91%;16/01/2014;Long Beach;120;89.00;90803;2;3
17840858;529.83;House;Private room;"{""Cable TV"",Internet,""Wireless Internet"",""Air ...";2;1;Real;Bed;moderate;True;LA;f;None;10/03/2015;Mid-Wilshire;0;nan;90048;1;1
2444713;506.89;House;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";2;1;Real;Bed;moderate;True;LA;t;100%;20/06/2014;Echo Park;117;98.00;90039;0;1
13276443;470.05;House;Private room;"{""Cable TV"",Internet,""Wireless Internet"",""Air ...";2;1;Real;Bed;flexible;False;SF;t;None;15/05/2013;Russian Hill;2;100.00;94109;1;1
19947454;459.51;Apartment;Private room;"{TV,Internet,""Wireless Internet"",Kitchen,""Free...";2;1;Real;Bed;flexible;True;LA;t;100%;14/04/2014;Westwood;10;98.00;90024;1;1
13653016;417.44;Other;Private room;"{TV,Internet,""Wireless Internet"",""Air conditio...";3;1;Real;Bed;strict;False;LA;f;100%;28/11/2016;None;1;20.00;90731;1;1
20942873;480.40;Condominium;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",Ki...";2;1;Real;Bed;flexible;False;LA;t;80%;13/09/2013;Santa Monica;28;96.00;90405;1;1
19583726;552.15;Condominium;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";4;2;Real;Bed;moderate;False;Boston;f;None;08/06/2015;South Boston;15;97.00;2127;2;2
17196103;482.83;Apartment;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";4;1;Real;Bed;moderate;True;LA;t;89%;25/12/2009;Marina Del Rey;11;91.00;90292;1;1
9318115;680.13;House;Entire home/apt;"{Internet,""Wireless Internet"",Kitchen,""Free pa...";5;1;Real;Bed;strict;True;LA;f;100%;13/06/2016;Malibu;0;nan;90265;3;3
9937434;497.67;Apartment;Entire home/apt;"{TV,""Wireless Internet"",""Air conditioning"",Hea...";2;1;Real;Bed;strict;True;LA;t;100%;23/03/2016;Hermosa Beach;1;60.00;90254;0;1
4454031;685.65;House;Entire home/apt;"{TV,Internet,""Wireless Internet"",Kitchen,""Free...";6;2;Real;Bed;moderate;True;LA;t;100%;08/10/2014;None;6;100.00;90266;4;4
16259866;361.09;House;Private room;"{""Wireless Internet"",""Air conditioning"",Kitche...";2;1;Real;Bed;flexible;False;NYC;f;100%;11/01/2016;East New York;14;85.00;11208;1;1
20282225;507.52;Apartment;Private room;"{Internet,""Wireless Internet"",""Air conditionin...";2;1;Real;Bed;moderate;True;Boston;f;100%;14/07/2014;Dorchester;1;100.00;2125;1;1
23269;519.30;Condominium;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";6;2;Real;Bed;moderate;True;LA;t;100%;29/11/2015;None;10;100.00;90802;2;2
7637363;661.87;House;Entire home/apt;"{TV,""Wireless Internet"",Pool,Kitchen,""Free par...";8;3;Real;Bed;strict;True;LA;t;100%;12/01/2014;Manhattan Beach;5;96.00;90266;4;4
6391342;417.44;House;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";2;1;Real;Bed;strict;True;LA;f;100%;24/06/2014;Westlake;36;96.00;90005;1;1
11606802;455.39;House;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";5;1;Real;Bed;moderate;True;LA;t;100%;22/06/2016;Westlake;45;97.00;90015;1;2
12289125;486.75;House;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";6;2;Real;Bed;strict;True;LA;t;80%;02/02/2014;Westlake;31;95.00;90057;2;4
19875244;630.99;Condominium;Entire home/apt;"{TV,""Cable TV"",""Wireless Internet"",""Air condit...";6;2;Real;Bed;flexible;True;Chicago;t;100%;27/09/2010;Lakeview;0;nan;60657;2;2
392794;270.81;House;Shared room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";4;1;Real;Bed;strict;False;LA;t;99%;27/03/2016;Westlake;35;85.00;90006;1;10
992786;474.49;Apartment;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";2;1;Real;Bed;moderate;True;NYC;t;67%;04/02/2012;Harlem;21;96.00;10035;1;1
13650177;438.20;Apartment;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";2;1;Real;Bed;strict;True;NYC;t;100%;04/07/2015;Harlem;2;100.00;10030;1;1
5792141;486.75;Apartment;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";4;1;Real;Bed;strict;True;NYC;t;80%;03/12/2010;Harlem;85;90.00;10027;1;2
6390069;570.38;Apartment;Entire home/apt;"{TV,""Wireless Internet"",Kitchen,""Buzzer/wirele...";4;1;Real;Bed;moderate;True;NYC;t;None;17/01/2011;Harlem;0;nan;10027;2;3
8579757;501.06;Condominium;Entire home/apt;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";5;1;Real;Bed;moderate;False;NYC;f;93%;05/01/2017;Harlem;2;90.00;10039;2;3
14115855;448.86;Apartment;Private room;"{TV,""Wireless Internet"",Kitchen,Washer,Dryer,""...";2;1;Real;Bed;moderate;False;NYC;f;100%;10/08/2013;Harlem;8;100.00;10031;1;1
685364;478.75;Apartment;Entire home/apt;"{Internet,""Wireless Internet"",""Air conditionin...";3;1;Real;Bed;moderate;False;NYC;t;100%;12/05/2012;Harlem;7;100.00;10035;1;1
20031027;409.43;Apartment;Private room;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";2;1;Real;Bed;flexible;True;NYC;f;100%;16/12/2014;Harlem;4;100.00;10030;1;1
2399406;389.18;Apartment;Private room;"{""Wireless Internet"",Kitchen,""Pets allowed"",Br...";2;1;Real;Bed;flexible;False;NYC;f;100%;28/02/2016;Harlem;12;92.00;10030;1;1
15991936;551.75;Apartment;Entire home/apt;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";4;1;Real;Bed;moderate;True;NYC;t;100%;20/09/2013;Harlem;19;99.00;10027;2;2
17497415;404.31;Apartment;Shared room;"{""Wireless Internet"",Kitchen,Elevator,""Family/...";2;1;Real;Bed;flexible;True;NYC;t;22%;08/10/2016;Harlem;6;84.00;10027;1;1
5321538;674.52;Townhouse;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";8;1;Real;Bed;flexible;True;NYC;f;100%;13/09/2013;Harlem;0;nan;10027;0;1
6228461;409.43;Apartment;Private room;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";2;1;Real;Bed;flexible;True;NYC;t;100%;19/03/2013;Harlem;7;97.00;10030;1;1
12954602;465.40;Loft;Entire home/apt;"{Internet,""Wireless Internet"",""Free parking on...";3;1;Real;Bed;moderate;True;LA;f;100%;14/11/2015;Westside;43;97.00;90064;0;2
15409556;355.53;House;Private room;"{""Family/kid friendly"",""Smoke detector""}";2;1;Real;Bed;strict;True;LA;t;100%;14/12/2015;Hawthorne;5;92.00;90250;1;1
14057888;494.16;Apartment;Entire home/apt;"{TV,""Cable TV"",""Wireless Internet"",""Air condit...";4;1;Real;Bed;flexible;True;NYC;t;100%;20/05/2013;Harlem;16;91.00;10037;1;1
21005590;444.27;Apartment;Private room;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";3;1;Real;Bed;flexible;False;NYC;t;None;20/03/2016;Harlem;0;nan;10039;2;1
4698479;510.59;Apartment;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";2;1;Real;Bed;moderate;True;NYC;t;None;10/12/2015;Harlem;5;100.00;10026;1;1
6661783;448.86;Apartment;Private room;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";2;2;Real;Bed;flexible;True;NYC;t;100%;26/04/2014;Harlem;28;91.00;10027;1;1
2243670;519.30;Apartment;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";3;1;Real;Bed;strict;True;NYC;t;90%;05/03/2013;Harlem;15;97.00;10027;2;2
5059214;431.75;Apartment;Private room;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";1;3;Real;Bed;strict;False;NYC;f;None;14/03/2014;Harlem;0;nan;10030;2;1
20556938;438.20;Apartment;Private room;"{TV,Washer,""Cable TV"",Dryer,Internet,""Smoke de...";2;1;Real;Bed;strict;False;NYC;f;100%;12/04/2016;Harlem;41;94.00;10029;1;1
10165064;431.75;Apartment;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";3;1;Real;Bed;flexible;False;NYC;t;None;02/11/2016;Harlem;1;100.00;10039;2;3
7359527;434.38;Apartment;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";2;1;Real;Bed;flexible;False;NYC;f;None;08/04/2015;Harlem;1;100.00;10030;0;1
4902799;621.26;Apartment;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";4;2;Real;Bed;strict;True;NYC;t;None;23/12/2011;Harlem;0;nan;10026;2;2
20976767;431.75;Apartment;Shared room;"{TV,Internet,""Wireless Internet"",""Air conditio...";2;1;Pull-out;Sofa;moderate;True;NYC;t;100%;19/03/2013;Harlem;30;94.00;10026;1;1
10869168;552.15;Apartment;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";7;1;Real;Bed;strict;True;NYC;f;90%;01/01/2013;Harlem;29;88.00;10027;3;4
7591555;424.85;Apartment;Entire home/apt;"{""Wireless Internet"",""Air conditioning"",Kitche...";2;1;Real;Bed;flexible;True;NYC;f;38%;02/06/2013;Harlem;7;95.00;10039;1;1
15454112;459.51;House;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";2;1;Real;Bed;moderate;True;NYC;t;100%;30/06/2014;Harlem;73;94.00;10030;1;1
16662334;400.73;House;Private room;"{""Wireless Internet"",Kitchen,Washer,Dryer,""Smo...";2;1;Real;Bed;flexible;True;LA;t;100%;20/09/2014;Gardena;6;97.00;90249;1;1
19118005;552.15;Apartment;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";2;1;Real;Bed;strict;False;NYC;t;0%;12/11/2009;Alphabet City;11;93.00;10009;1;2
11972209;548.06;Apartment;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";7;1;Real;Bed;strict;True;NYC;t;100%;29/01/2014;East Harlem;140;94.00;10029;3;3
8284881;621.46;House;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";8;3;Real;Bed;strict;True;LA;f;100%;01/11/2016;Pacific Palisades;1;nan;90272;4;6
14276565;486.75;Apartment;Entire home/apt;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";4;1;Real;Bed;strict;True;NYC;t;87%;22/01/2014;Harlem;0;nan;10027;2;2
10923708;340.12;Apartment;Private room;"{TV,Internet,""Wireless Internet"",""Air conditio...";1;1;Real;Bed;strict;False;NYC;t;100%;30/06/2014;Harlem;166;91.00;10031;1;1
1998513;438.20;Apartment;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";2;1;Real;Bed;strict;True;NYC;t;80%;21/12/2013;Harlem;11;87.00;10027;0;1
18211034;449.98;Apartment;Private room;"{""Wireless Internet"",Kitchen,""Smoke detector"",...";2;1;Real;Bed;flexible;False;NYC;f;None;07/01/2016;Harlem;0;nan;10030;1;1
13041230;431.75;Apartment;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Wheelchair a...";3;1;Real;Bed;flexible;True;NYC;t;None;21/12/2013;Harlem;31;87.00;10027;1;1
8256789;552.15;Apartment;Entire home/apt;"{TV,""Wireless Internet"",""Air conditioning"",Ele...";4;2;Real;Bed;moderate;True;NYC;t;100%;02/10/2015;Harlem;0;nan;10027;2;2
16354537;478.75;Apartment;Private room;"{""Wireless Internet"",""Air conditioning"",Kitche...";2;1;Real;Bed;strict;False;NYC;t;100%;21/12/2013;Harlem;14;99.00;10027;1;1
7347593;504.34;House;Private room;"{TV,Internet,""Wireless Internet"",Kitchen,""Smok...";4;1;Real;Bed;strict;False;NYC;t;100%;11/12/2013;Harlem;14;89.00;10037;1;2
17009057;552.15;House;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",Ki...";4;2;Real;Bed;moderate;True;SF;t;80%;23/02/2014;Bernal Heights;25;98.00;94110;2;2
18333003;570.04;Apartment;Private room;"{TV,""Wireless Internet"",""Air conditioning"",Poo...";4;2;Real;Bed;flexible;False;Chicago;f;80%;30/06/2015;Loop;0;nan;60606;2;2
16274069;482.83;Apartment;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";4;1;Real;Bed;moderate;True;NYC;f;100%;11/02/2014;Bedford-Stuyvesant;13;92.00;11216;2;3
20049857;474.49;Apartment;Entire home/apt;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";2;1;Real;Bed;moderate;True;LA;f;None;07/10/2017;West Hollywood;0;nan;90046;1;1
18157879;570.38;House;Entire home/apt;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";7;2;Real;Bed;strict;True;Chicago;t;None;20/01/2016;Lincoln Park;9;98.00;60614;3;3
17666136;538.91;Apartment;Entire home/apt;"{Internet,""Wireless Internet"",""Air conditionin...";4;1;Real;Bed;moderate;True;NYC;f;None;17/11/2014;East Village;1;100.00;10003;2;3
2135314;519.30;Loft;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";2;1;Real;Bed;strict;False;NYC;f;None;09/07/2015;East Village;3;87.00;10003;1;1
5321584;717.01;House;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",Ki...";8;2;Real;Bed;strict;True;SF;t;None;20/09/2014;Hayes Valley;4;100.00;94102;4;5
13121821;501.06;Apartment;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";1;1;Real;Bed;flexible;False;NYC;f;None;20/09/2014;Park Slope;0;nan;11215;1;1
12282255;449.98;Apartment;Entire home/apt;"{Internet,""Wireless Internet"",""Air conditionin...";3;1;Real;Bed;strict;False;NYC;t;100%;23/04/2015;Harlem;23;94.00;10030;0;1
6630775;504.34;Apartment;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";4;1;Real;Bed;moderate;True;NYC;t;100%;30/06/2014;Harlem;40;97.00;10030;1;4
9479348;598.90;Apartment;Entire home/apt;"{""Wireless Internet"",""Air conditioning"",Kitche...";7;2;Real;Bed;strict;False;NYC;f;100%;03/07/2017;Hell's Kitchen;1;60.00;10036;3;4
3710477;674.52;House;Entire home/apt;"{TV,""Cable TV"",""Wireless Internet"",""Air condit...";14;2;Real;Bed;moderate;True;NYC;f;100%;07/10/2017;Astoria;0;nan;11103;6;8
13978228;578.38;House;Entire home/apt;"{""Wireless Internet"",""Air conditioning"",Kitche...";4;3;Real;Bed;flexible;False;LA;t;100%;05/08/2015;Mount Washington;0;nan;90065;2;2
16028615;487.52;Apartment;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";4;2;Real;Bed;moderate;True;Chicago;t;100%;02/09/2016;Loop;1;100.00;60605;2;2
15027031;548.06;Apartment;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";3;1;Real;Bed;strict;True;NYC;t;100%;20/09/2014;Alphabet City;12;98.00;10009;1;2
19245819;424.85;Apartment;Private room;"{Internet,""Wireless Internet"",Kitchen,""Pets li...";1;1;Real;Bed;moderate;False;SF;t;None;16/03/2010;Mission District;12;90.00;94110;1;1
10770929;561.68;Apartment;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";8;2;Real;Bed;strict;True;NYC;t;100%;30/06/2014;Harlem;28;92.00;10026;2;5
12592005;524.70;Apartment;Entire home/apt;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";4;1;Real;Bed;moderate;True;NYC;f;90%;06/07/2017;Harlem;10;100.00;10039;1;2
1174876;424.85;House;Private room;"{""Wireless Internet"",""Air conditioning"",""Pets ...";2;1;Real;Bed;strict;False;NYC;t;100%;10/06/2015;Harlem;69;93.00;10027;1;1
20888646;423.41;House;Private room;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";2;1;Real;Bed;flexible;True;LA;f;98%;20/11/2016;Canoga Park;4;100.00;91303;0;1
7834158;599.15;Villa;Entire home/apt;"{TV,""Cable TV"",Internet,""Wireless Internet"",Ki...";10;4;Real;Bed;strict;True;LA;t;100%;21/08/2014;Redondo Beach;39;94.00;90278;4;5
6692191;423.41;House;Private room;"{TV,Internet,""Wireless Internet"",""Air conditio...";1;2;Real;Bed;flexible;False;LA;t;100%;13/09/2013;Westlake;9;100.00;90015;1;1
8084290;497.67;Condominium;Entire home/apt;"{TV,""Wireless Internet"",""Air conditioning"",Kit...";4;1;Real;Bed;moderate;True;NYC;t;100%;09/05/2012;Harlem;7;94.00;10027;1;2
6689195;433.07;Apartment;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";4;1;Real;Bed;strict;False;LA;t;None;30/05/2013;Burbank;1;nan;91504;2;2
11157369;409.43;Apartment;Private room;"{TV,Internet,""Wireless Internet"",""Air conditio...";1;1;Real;Bed;flexible;True;NYC;t;None;30/06/2014;Harlem;0;nan;10026;1;1
15705947;478.75;Apartment;Entire home/apt;"{""Wireless Internet"",""Air conditioning"",Kitche...";4;1;Real;Bed;moderate;True;NYC;f;80%;09/07/2015;Upper East Side;7;90.00;10065;1;2
11456592;529.83;Loft;Private room;"{""Wireless Internet"",""Air conditioning"",""Free ...";2;1;Real;Bed;moderate;False;NYC;f;100%;23/02/2011;Williamsburg;0;nan;11211;0;2
1077375;400.73;Apartment;Private room;"{""Wireless Internet"",Heating,""Family/kid frien...";1;1;Real;Bed;moderate;True;NYC;t;None;04/04/2015;Sunset Park;1;100.00;11220;1;1
17681277;529.83;Apartment;Private room;"{TV,Internet,""Wireless Internet"",""Air conditio...";2;1;Real;Bed;strict;True;LA;t;100%;07/04/2011;Echo Park;0;nan;90026;1;1
10842610;519.30;Apartment;Entire home/apt;"{""Wireless Internet"",Kitchen,""Free parking on ...";6;1;Real;Bed;flexible;True;NYC;t;100%;07/07/2012;The Rockaways;5;100.00;11692;3;3
8881130;448.86;House;Entire home/apt;"{TV,Internet,""Wireless Internet"",""Air conditio...";2;1;Real;Bed;strict;True;LA;t;100%;25/03/2011;Woodland Hills/Warner Center;17;98.00;91364;1;1
14236545;490.53;Apartment;Private room;"{""Wireless Internet"",Heating,""Smoke detector"",...";2;1;Real;Bed;strict;True;Boston;t;100%;23/12/2014;Dorchester;7;83.00;2125;1;1
14219018;444.27;Apartment;Private room;"{TV,""Cable TV"",Internet,""Wireless Internet"",""A...";2;1;Real;Bed;strict;True;NYC;t;89%;07/06/2013;Harlem;97;91.00;10027;1;1
8596057;420.47;House;Private room;"{""Wireless Internet"",""Air conditioning"",Pool,K...";1;2;Real;Bed;flexible;False;LA;f;100%;20/04/2016;None;0;nan;91748;1;1
11525500;478.75;Apartment;Entire home/apt;"{""Wireless Internet"",""Air conditioning"",Heatin...";2;1;Real;Bed;flexible;True;NYC;f;100%;07/10/2017;Williamsburg;2;100.00;11206;1;1
